,id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,latitude,longitude,country,city
3426,3168,jmstacciarini,,followers,/home/usnish/twitter_ypcdn/img/4854109119.jpg,0.2577,21,2358,triangle-down,ncdaction.dat,815,4854109119,0.3456,349,27.6648,-81.5158,United States,
3427,1553,CKiellyCarroll,,followers,/home/usnish/twitter_ypcdn/img/421563035.jpg,0.4046,14,1295,triangle-down,ncdaction.dat,346,421563035,0.2672,220,-25.2744,133.7751,Australia,
3428,3096,ImpactHubBOS,,followers,/home/usnish/twitter_ypcdn/img/1002522559.png,0.8159,257,1185,triangle-up,ncdaction.dat,3150,1002522559,2.6582,3625,42.357,-71.0576,United States,Boston
3429,1978,Khaled_Almak,,followers,/home/usnish/twitter_ypcdn/img/2852649620.jpg,0.11800000000000001,7,1419,triangle-down,ncdaction.dat,593,2852649620,0.4179,211,24.7136,46.6753,Saudi Arabia,Riyadh
3430,3074,justpvalues,,followers,/home/usnish/twitter_ypcdn/img/490919075.jpg,1.2698,24,695,triangle-down,ncdaction.dat,189,490919075,0.2719,8882,-12.0464,-77.0428,Peru,
3431,3111,nymedcollege,,followers,/home/usnish/twitter_ypcdn/img/203168280.jpg,0.3007,81,5001,triangle-down,ncdaction.dat,2694,203168280,0.5387,2374,41.0748,-73.7751,United States,Valhalla
3432,42,SmokeFreeLife,,followers,/home/usnish/twitter_ypcdn/img/95744442.jpg,0.371,158,3242,triangle-up,ncdaction.dat,4259,95744442,1.3137,20438,47.6059,-122.3353,United States,Seattle
3433,1732,NZUKLink,,followers,/home/usnish/twitter_ypcdn/img/1008832692.jpg,0.3565,19,1810,triangle-down,ncdaction.dat,533,1008832692,0.2945,2944,51.5074,-0.1278,United Kingdom,London
3434,281,asensiolope,,followers,/home/usnish/twitter_ypcdn/img/476679423.png,0.0,0,122,triangle-down,ncdaction.dat,110,476679423,0.9016,7,37.9922,-1.1307,Spain,Murcia
3435,4297,PainNewsNetwork,,followers,/home/usnish/twitter_ypcdn/img/2590800066.jpg,0.3482,113,1381,triangle-up,ncdaction.dat,3245,2590800066,2.3497,1275,36.7783,-119.4179,United States,
3436,201,HI_UnitedStates,,followers,/home/usnish/twitter_ypcdn/img/122102181.jpg,0.2535,182,5172,triangle-up,ncdaction.dat,7180,122102181,1.3882,7605,31.1821,-81.4789,United States,Brunswick
3438,2523,RobertPearlMD,,followers,/home/usnish/twitter_ypcdn/img/1566465486.jpg,0.3854,253,1135,triangle-up,ncdaction.dat,6565,1566465486,5.7841,924,38.9072,-77.0369,United States,Washington
3439,6,Kathy_Gluck,,followers,/home/usnish/twitter_ypcdn/img/289348396.jpg,0.5376,5,66,triangle-up,ncdaction.dat,93,289348396,1.4091,42,46.2044,6.1432,Switzerland,Geneva
3440,3825,RheumaRelief,,followers,/home/usnish/twitter_ypcdn/img/834835775891968000.jpg,0.0,0,222,triangle-down,ncdaction.dat,43,834835775891968000,0.1937,60,32.7157,-117.1611,United States,San Diego
3441,4012,petersonpkk1,,followers,/home/usnish/twitter_ypcdn/img/2784478406.jpg,0.0453,3,240,triangle-up,ncdaction.dat,662,2784478406,2.7583,390,-0.0236,37.9062,Kenya,
3442,39,NCDs_PAHO,,followers,/home/usnish/twitter_ypcdn/img/296823373.jpg,0.2579,151,1221,triangle-up,ncdaction.dat,5856,296823373,4.7961,9410,38.9072,-77.0369,United States,Washington
3445,3190,Our_Signal,,followers,/home/usnish/twitter_ypcdn/img/743819410817810433.jpg,1.4286,2,26,triangle-down,ncdaction.dat,14,743819410817810433,0.5385,28,38.9072,-77.0369,United States,Washington
3446,2133,pepitabarlow,,followers,/home/usnish/twitter_ypcdn/img/439341815.jpg,0.1914,4,551,triangle-down,ncdaction.dat,209,439341815,0.3793,94,51.752,-1.2577,United Kingdom,Oxford
3449,1264,GreenMotherland,,followers,/home/usnish/twitter_ypcdn/img/2221793749.png,0.0853,4,43,triangle-up,ncdaction.dat,469,2221793749,10.907,50,13.0827,80.2707,India,Chennai
3450,887,luiiscastillo,,followers,/home/usnish/twitter_ypcdn/img/56485276.jpg,0.2121,7,525,triangle-down,ncdaction.dat,330,56485276,0.6286,10387,36.7342,-85.5444,United States,Tompkinsville
3451,2294,subatomicdoc,,followers,/home/usnish/twitter_ypcdn/img/88581667.jpg,0.7623,1153,4496,triangle-up,ncdaction.dat,15125,88581667,3.3641,64518,42.6334,-71.3162,United States,Lowell
3452,33,HelmSarah,,followers,/home/usnish/twitter_ypcdn/img/323981371.jpg,0.0,0,150,triangle-down,ncdaction.dat,55,323981371,0.3667,156,-41.2865,174.7762,New Zealand,Wellington
3453,376,graffhm,,followers,/home/usnish/twitter_ypcdn/img/117765604.jpg,0.5172,18,783,triangle-down,ncdaction.dat,348,117765604,0.4444,3446,51.5074,-0.1278,United Kingdom,London
3457,3562,DoctorGlobal,,followers,/home/usnish/twitter_ypcdn/img/419557324.jpg,0.5784,38,624,triangle-up,ncdaction.dat,657,419557324,1.0529,4862,18.9712,-72.2852,Haiti,
3458,988,Ausmed,,followers,/home/usnish/twitter_ypcdn/img/17886033.jpg,0.3985,63,653,triangle-up,ncdaction.dat,1581,17886033,2.4211,2776,-37.8136,144.9631,Australia,
