id,label,timeset,type,image,lfr,listed,friends,shape,file,followers,user_id,ffr,statuses,indegree,outdegree,degree
1803,c_ngaruiya,,followers,/home/usnish/twitter_ypcdn/img/33772362.jpg,0.7882,16,590,triangle-down,ncdaction.dat,203,33772362,0.3441,875,15,36,51
1494,EASOobesity,,followers,/home/usnish/twitter_ypcdn/img/1568301565.jpg,0.3323,193,3196,triangle-up,ncdaction.dat,5808,1568301565,1.8173,7922,343,274,617
994,Okoliedon,,followers,/home/usnish/twitter_ypcdn/img/932323705.jpg,0.354,4,714,triangle-down,ncdaction.dat,113,932323705,0.1583,638,0,1,1
1082,sietzevermeulen,,followers,/home/usnish/twitter_ypcdn/img/17819389.jpg,0.4571,40,1147,triangle-down,ncdaction.dat,875,17819389,0.7629,6600,2,2,4
807,BekkahSchear,,followers,/home/usnish/twitter_ypcdn/img/48198824.jpg,0.3299,19,725,triangle-down,ncdaction.dat,576,48198824,0.7945,459,24,27,51
883,Michelle_Pahl,,followers,/home/usnish/twitter_ypcdn/img/573715109.jpg,0.8754,26,969,triangle-down,ncdaction.dat,297,573715109,0.3065,1133,17,60,77
3962,zanelemabaso23,,followers,/home/usnish/twitter_ypcdn/img/428893534.jpg,0.2679,46,1609,triangle-up,ncdaction.dat,1717,428893534,1.0671,3534,19,54,73
1193,GiraudSylvain,,followers,/home/usnish/twitter_ypcdn/img/888381853.png,1.1277,196,3762,triangle-down,ncdaction.dat,1738,888381853,0.462,15985,138,155,293
374,duncoh1,,followers,/home/usnish/twitter_ypcdn/img/328647568.png,0.1226,7,829,triangle-down,ncdaction.dat,571,328647568,0.6888,358,124,126,250
129,GlobalHealth,,followers,/home/usnish/twitter_ypcdn/img/14534174.jpg,0.1696,868,1152,triangle-up,ncdaction.dat,51166,14534174,44.4149,4529,1021,149,1170
1229,nick_horslen,,followers,/home/usnish/twitter_ypcdn/img/16927125.png,0.8166,61,2070,triangle-down,ncdaction.dat,747,16927125,0.3609,5394,6,26,32
816,mindsfoundation,,followers,/home/usnish/twitter_ypcdn/img/300089946.png,0.2547,23,1694,triangle-down,ncdaction.dat,903,300089946,0.5331,827,31,54,85
1284,amy_bainbridge,,followers,/home/usnish/twitter_ypcdn/img/219077357.jpg,0.3186,115,3038,triangle-up,ncdaction.dat,3610,219077357,1.1883,1532,12,12,24
3218,sypn_ccghr,,followers,/home/usnish/twitter_ypcdn/img/749312030201503746.jpg,0.2804,3,111,triangle-down,ncdaction.dat,107,749312030201503746,0.964,54,15,20,35
283,nordicwalkinguk,,followers,/home/usnish/twitter_ypcdn/img/62295964.jpg,0.1863,82,2641,triangle-up,ncdaction.dat,4402,62295964,1.6668,6947,13,21,34
3456,AsiaPacHeart,,followers,/home/usnish/twitter_ypcdn/img/781695736085827584.jpg,0.9524,4,95,triangle-down,ncdaction.dat,42,781695736085827584,0.4421,368,15,20,35
1328,neivaapb,,followers,/home/usnish/twitter_ypcdn/img/2233785580.jpg,0.2326,2,1974,triangle-down,ncdaction.dat,86,2233785580,0.0436,14,0,13,13
